iter	Passed	Remaining
596	2111	1425
597	2113	1420
598	2116	1416
599	2119	1413
600	2122	1408
601	2124	1404
602	2126	1400
603	2129	1396
604	2132	1392
605	2135	1388
606	2138	1384
607	2140	1380
608	2142	1375
609	2145	1371
610	2148	1367
611	2151	1363
612	2153	1359
613	2156	1355
614	2159	1351
615	2161	1347
616	2163	1343
617	2167	1339
618	2170	1335
619	2172	1331
620	2175	1327
621	2178	1323
622	2181	1320
623	2184	1316
624	2187	1312
625	2189	1308
626	2192	1304
627	2194	1300
628	2197	1296
629	2200	1292
630	2202	1288
631	2205	1284
632	2208	1280
633	2210	1276
634	2214	1272
635	2216	1268
636	2218	1264
637	2221	1260
638	2223	1256
639	2226	1252
640	2229	1248
641	2232	1244
642	2234	1240
643	2237	1236
644	2239	1232
645	2243	1229
646	2246	1225
647	2248	1221
648	2251	1217
649	2253	1213
650	2256	1209
651	2260	1206
652	2263	1202
653	2265	1198
654	2267	1194
655	2269	1190
656	2272	1186
657	2276	1183
658	2278	1179
659	2280	1175
660	2283	1171
661	2286	1167
662	2288	1163
663	2291	1159
664	2294	1156
665	2297	1152
666	2299	1148
667	2302	1144
668	2305	1140
669	2308	1137
670	2311	1133
671	2313	1129
672	2316	1125
673	2319	1121
674	2322	1118
675	2325	1114
676	2327	1110
677	2329	1106
678	2332	1102
679	2335	1098
680	2338	1095
681	2341	1091
682	2344	1088
683	2346	1084
684	2349	1080
685	2387	1093
686	2390	1089
687	2404	1090
688	2407	1086
689	2410	1083
690	2413	1079
691	2416	1075
692	2419	1071
693	2422	1067
694	2424	1064
695	2427	1060
696	2431	1056
697	2434	1053
698	2436	1049
699	2439	1045
700	2442	1041
701	2446	1038
702	2448	1034
703	2452	1031
704	2455	1027
705	2457	1023
706	2460	1019
707	2463	1015
708	2466	1012
709	2469	1008
710	2471	1004
711	2474	1000
712	2477	997
713	2480	993
714	2483	990
715	2486	986
716	2489	982
717	2492	979
718	2496	975
719	2499	971
720	2501	968
721	2504	964
722	2507	960
723	2510	956
724	2513	953
725	2516	949
726	2519	946
727	2522	942
728	2524	938
729	2528	935
730	2531	931
731	2534	927
732	2537	924
733	2539	920
734	2543	916
735	2546	913
736	2549	909
737	2552	906
738	2555	902
739	2558	898
740	2561	895
741	2564	891
742	2567	888
743	2570	884
744	2572	880
745	2576	877
746	2578	873
747	2581	869
748	2584	866
749	2587	862
750	2590	858
751	2593	855
752	2596	851
753	2599	848
754	2601	844
755	2604	840
756	2607	837
757	2610	833
758	2612	829
759	2615	825
760	2617	822
761	2620	818
762	2623	814
763	2626	811
764	2628	807
765	2631	803
766	2634	800
767	2638	796
768	2642	793
769	2645	790
770	2648	786
771	2652	783
772	2659	780
773	2662	777
774	2665	773
775	2669	770
776	2673	767
777	2677	764
778	2680	760
779	2683	756
780	2687	753
781	2690	750
782	2693	746
783	2696	742
784	2699	739
785	2702	735
786	2705	732
787	2708	728
788	2711	725
789	2714	721
790	2719	718
791	2723	715
792	2727	711
793	2730	708
794	2737	705
795	2742	702
796	2745	699
797	2750	696
798	2757	693
799	2760	690
800	2764	686
801	2770	684
802	2773	680
803	2777	676
804	2781	673
805	2788	671
806	2792	667
807	2795	664
808	2800	661
809	2805	658
810	2809	654
811	2814	651
812	2820	648
813	2825	645
814	2828	642
815	2834	639
816	2841	636
817	2845	633
818	2848	629
819	2851	626
820	2855	622
821	2858	618
822	2862	615
823	2867	612
824	2872	609
825	2879	606
826	2884	603
827	2888	599
828	2890	596
829	2895	593
830	2899	589
831	2904	586
832	2914	584
833	2918	580
834	2920	577
835	2925	573
836	2933	571
837	2936	567
838	2941	564
839	2944	560
840	2948	557
841	2950	553
842	2953	550
843	2960	547
844	2963	543
845	2965	539
846	2969	536
847	2975	533
848	3014	536
849	3033	535
850	3036	531
851	3041	528
852	3045	524
853	3049	521
854	3052	517
855	3058	514
856	3061	510
857	3064	507
858	3067	503
859	3071	500
860	3077	496
861	3080	493
862	3083	489
863	3089	486
864	3092	482
865	3094	478
866	3098	475
867	3105	472
868	3107	468
869	3111	464
870	3114	461
871	3120	457
872	3125	454
873	3128	451
874	3131	447
875	3137	444
876	3140	440
877	3144	436
878	3147	433
879	3152	429
880	3155	426
881	3160	422
882	3164	419
883	3169	415
884	3173	412
885	3176	408
886	3179	405
887	3185	401
888	3187	398
889	3190	394
890	3193	390
891	3197	387
892	3200	383
893	3203	379
894	3205	376
895	3208	372
896	3212	368
897	3214	365
898	3217	361
899	3219	357
900	3222	354
901	3224	350
902	3228	346
903	3232	343
904	3236	339
